group_value,n,weighted_n,y_qn26_weighted_rate,y_qn26_ci95_low_approx,y_qn26_ci95_high_approx,y_qn26_missing_rate,x_qn24_missing_rate,x_qn25_missing_rate
cat_1,122,9.9584,0.353521,-0.008056,0.715097,0.0,0.0,0.016393
cat_2,73,120.3027,0.321102,0.236462,0.405741,0.0,0.054795,0.027397
cat_3,218,557.7666,0.390834,0.350216,0.431452,0.0,0.013761,0.004587
cat_4,12,17.0089,0.31433,0.068368,0.560291,0.0,0.0,0.0
cat_5,536,1117.9194,0.420876,0.391891,0.449861,0.0,0.037313,0.020522
cat_6,253,620.5097,0.408307,0.369527,0.447088,0.0,0.011858,0.011858
cat_7,537,1283.4357,0.38305,0.356419,0.409681,0.0,0.0,0.005587
cat_8,140,240.238,0.377044,0.315319,0.438769,0.0,0.021429,0.014286
<NA>,109,203.6024,0.395702,0.327963,0.46344,0.0,0.293578,0.06422
