fold,feature_name,importance_mean,importance_std,rank,n_repeats
0,q2,0.1420508536045635,0.009890666541244993,1.0,20
0,raceeth,0.017598555879749588,0.005203120526420827,2.0,20
0,q1,0.007467277808740175,0.0021222781093199975,3.0,20
0,q3,0.0007650886798020284,0.0011897269175238263,4.0,20
1,q2,0.12475997650489387,0.009981333050072103,1.0,20
1,raceeth,0.022448514278851396,0.0031791301119135306,2.0,20
1,q1,0.004315463198310188,0.0038345823271135194,3.0,20
1,q3,-0.0016618524653261245,0.001146987014401253,4.0,20
2,q2,0.12248051672837605,0.008010465254673953,1.0,20
2,raceeth,0.018892768532625597,0.004331277199723579,2.0,20
2,q1,0.005986814949806352,0.0027275415316966247,3.0,20
2,q3,-0.0011126051735962038,0.0011114144238200704,4.0,20
3,q2,0.14292029576288803,0.008830365048623464,1.0,20
3,raceeth,0.020072422065888794,0.0034111387498355593,2.0,20
3,q1,0.004778284406373512,0.003241806436968689,3.0,20
3,q3,0.00148951266510004,0.0018534110613514945,4.0,20
4,q2,0.12140346983202957,0.007334639740581858,1.0,20
4,raceeth,0.017560347622636995,0.004712423298397657,2.0,20
4,q1,0.008325760547486728,0.0027105492757582136,3.0,20
4,q3,0.002638782828897579,0.0017892450337786774,4.0,20
